Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Weight,Sales
FDX32,Regular,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,15,145
NCB42,Low Fat,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,12,115
FDR28,Regular,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,14,165
FDL50,Regular,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,12,127
DRI25,Low Fat,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,20,55
FDS52,Low Fat,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,9,102
NCU05,Low Fat,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,12,81
NCD30,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,20,96
FDW20,Low Fat,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,21,124
NCU41,Low Fat,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,19,192
FDL20,Low Fat,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,17,112
NCR54,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,16,195
FDB57,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,20,222
FDO23,Low Fat,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,18,94
NCB07,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,19,198
DRN47,Low Fat,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,12,179
FDJ41,Low Fat,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,7,262
DRI51,Low Fat,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,17,173
FDC40,Regular,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,16,76
FDB53,Low Fat,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,13,150
FDA16,Low Fat,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,7,222
FDO04,Low Fat,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,17,57
FDL25,Regular,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,7,93
NCJ30,Low Fat,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,6,168
NCQ41,Low Fat,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,15,196
DRJ35,Low Fat,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,10,60
NCE31,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,8,35
FDY09,Low Fat,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,16,174
FDZ04,Low Fat,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,9,62
FDY07,Low Fat,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,12,47
FDO45,Regular,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,13,89
FDB09,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,126
FDP51,Regular,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,14,120
FDT50,Regular,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,7,96
DRL11,Low Fat,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,10,159
FDT34,Low Fat,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,9,104
FDP01,Regular,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,21,151
NCJ31,Low Fat,Others,2014,OUT013,Tier 3,High,Supermarket Type1,19,239
NCL30,Low Fat,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,18,127
FDF04,Low Fat,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,18,256
NCZ42,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,236
FDG24,Low Fat,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,8,82
FDV49,Low Fat,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,265
FDX01,Low Fat,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,115
DRF27,Low Fat,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,9,152
FDF16,Low Fat,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,7,147
FDU04,Low Fat,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,8,122
FDP04,Low Fat,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,15,63
FDD05,Low Fat,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,19,121
FDV07,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,111
FDT20,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,39
FDC44,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,112
DRM59,Low Fat,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,6,154
DRG23,Low Fat,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,9,153
NCJ29,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,11,85
NCM42,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,6,110
NCY42,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,6,145
NCX54,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,9,108
NCI06,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,11,181
NCQ02,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,13,187
NCR38,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,17,253
NCM30,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,19,42
FDK43,Low Fat,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,126
FDK21,Low Fat,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,8,250
FDR45,Low Fat,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,11,239
FDV09,Low Fat,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,148
FDU12,Regular,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,262
FDZ47,Regular,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,21,100
FDO11,Regular,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,8,247
FDU49,Regular,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,20,86
FDA02,Regular,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,14,145
FDV26,Regular,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,20,194
FDA04,Regular,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,11,257
FDO52,Regular,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,172
FDA40,Regular,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,87
FDS27,Regular,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,197
FDU15,Regular,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,14,38
FDV33,Regular,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,259
FDV34,Regular,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,11,74
FDX46,Regular,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,59
NCA53,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,11,50
FDT24,Regular,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,78
FDX27,Regular,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,21,95
FDP24,Low Fat,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,21,119
FDH38,Low Fat,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,6,116
FDT49,Low Fat,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,7,108
FDN02,Low Fat,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,16,209
DRF27,Low Fat,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,9,155
FDT02,Low Fat,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,13,36
FDF05,Low Fat,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,18,264
FDI45,Low Fat,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,13,176
FDZ20,Low Fat,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,16,252
NCC42,Low Fat,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,15,140
NCQ53,Low Fat,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,18,235
NCR54,Low Fat,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,16,198
